"wt_full_W6" "wt_full_W9" "regretsIHaveAFewW6" "euRefExpectationW7" "euRefExpectationW8" "econPersonalRetroW8" "euRefTurnoutRetroW9" "euRefVoteW9" "regretsIHaveAFewW9" "ageGroup" "ns_secW1W2W3W4W5" "ns_sec_analyticW1W2W3W4W5" "gender" "gor" "education"
"158" NA NA NA 40 NA NA NA NA NA 4 20 11 1 5 18
"159" NA NA NA NA NA NA NA NA NA 4 NA NA 2 7 6
"160" 0.784383405972072 NA 0 50 NA NA NA NA NA 7 NA NA 1 2 7
"161" NA NA NA NA NA NA NA NA NA 4 20 11 2 1 16
"162" 0.846066012017533 0.625202350686827 0 41 63 NA 1 9999 0 6 32 12 1 5 9
"163" 0.0924453445952952 0.116918194480318 0 NA 52 2 1 0 0 7 41 20 1 11 17
"164" 0.767841797148433 0.555526763096588 0 40 60 NA 1 1 0 6 60 20 1 8 16
"165" 0.358356021587365 0.363541505745545 0 50 48 NA 1 0 0 4 50 20 2 7 17
"166" 0.211282410126818 NA 0 NA NA NA NA NA NA 5 71 30 1 8 9
"167" 0.139982395054177 NA 0 NA NA NA NA NA NA 5 73 30 1 11 16
"168" 0.725607876659699 0.625598339813973 0 9999 9999 NA 1 0 0 4 73 30 1 3 16
"169" 0.985446045698406 NA 0 64 51 NA NA NA NA 7 91 40 2 5 16
"170" 1.0738797556308 0.744343688160677 0 60 75 NA 1 1 0 7 41 20 1 3 18
"171" NA NA NA NA NA NA NA NA NA 4 44 20 1 7 16
"172" 1.12334586216304 0.798158213973714 0 63 75 NA 1 0 0 7 31 12 1 1 16
"173" 2.16095809222092 NA 0 55 27 NA NA NA NA 4 31 12 1 8 18
"174" 0.111126069157483 0.066766525388413 0 76 NA NA 1 1 0 7 91 40 2 6 11
"175" NA NA NA NA NA NA NA NA NA 4 72 30 1 3 11
"176" 1.12334586216304 0.90372132831358 0 69 65 3 1 1 0 7 126 60 1 1 18
"177" 0.206903338284047 0.269757328572736 0 9999 9999 NA 1 0 0 5 71 30 2 11 18
"178" 0.948311466469019 0.855205432582207 0 50 21 NA 1 1 0 5 91 40 1 3 5
"179" 0.199235954663778 0.119468485228481 0 72 60 NA 1 1 0 7 NA NA 1 4 1
"180" 0.909493694472746 0.567904782029088 0 NA 32 3 1 0 0 6 31 12 1 8 17
"181" 0.11173175443065 NA 0 NA 40 3 NA NA NA 6 NA 50 1 3 17
"182" 0.753661091725246 0.559085627737015 0 NA 54 3 1 1 0 7 31 12 1 3 17
"183" 1.09932051407071 0.5170938905573 0 50 50 NA 1 0 0 5 122 60 1 10 16
"184" NA NA NA NA 50 4 NA NA NA 6 50 20 1 8 7
"185" 0.75633930497902 0.564507550799277 0 100 9999 NA 1 1 0 6 NA NA 2 6 9
"186" 0.203353200557461 NA 0 100 45 2 NA NA NA 5 121 60 1 3 9
"187" 0.434841872251087 0.293080730497935 NA 54 53 2 0 NA NA 6 41 20 2 3 16
"188" 0.341535438171006 0.327893087710413 0 25 61 NA 1 0 0 4 43 20 1 5 17
"189" 0.43748681952094 0.370187235082341 0 25 31 NA 1 0 0 6 50 20 1 7 9
"190" NA 1.58602672714387 NA 69 67 NA 1 1 0 5 121 60 2 4 9
"191" 0.664125729558614 NA 0 NA NA NA NA NA NA 4 71 30 2 8 16
"192" 0.837718635116272 0.555428955650501 0 9999 9999 NA 1 1 0 7 50 20 2 9 4
"193" 0.471196785471425 NA 0 55 54 3 NA NA NA 6 100 50 2 10 9
"194" 0.17067745909714 0.101602342245023 0 53 55 2 1 1 0 7 50 20 1 5 18
"195" 2.08589919386681 0.85200194112882 0 73 43 NA 1 1 0 6 NA NA 1 9 9
"196" NA NA NA NA NA NA NA NA NA 7 NA NA 1 8 1
"197" NA 0.347792443874415 NA 48 NA NA 1 0 0 5 72 30 2 7 16
"198" 0.628076489284023 NA 1 NA NA NA NA NA NA 6 NA NA 1 6 17
"199" 0.495737911401931 0.365010819952114 0 NA 50 3 1 0 0 6 20 11 1 6 15
"200" 0.969428313896234 0.892592601853043 0 NA 26 4 1 0 0 5 71 30 1 4 16
"201" 0.790264570263869 0.643130534043194 0 47 40 NA 1 0 0 5 73 30 1 8 14
"202" NA 0.154985916248518 NA 35 NA NA 1 1 9999 4 41 20 2 4 16
"203" 0.686247510113008 0.643014949900476 0 45 12 NA 1 0 0 4 34 12 1 8 15
"204" 0.266483397833821 NA 0 NA NA NA NA NA NA 6 41 20 1 11 17
"205" 0.769127380599345 NA 0 NA NA NA NA NA NA 4 121 60 1 3 11
"206" 0.33328122871482 NA 0 100 NA NA NA NA NA 5 41 20 1 4 3
"207" 0.447564500042555 NA 0 NA 55 3 NA NA NA 7 50 20 1 5 18
"208" 1.17955907405681 1.18716621484187 0 61 58 3 1 1 0 5 41 20 1 6 15
"209" 0.68848832222642 0.491199212517817 0 55 51 NA 1 1 0 6 72 30 2 6 14
"210" 0.145907019703802 NA 0 36 40 5 NA NA NA 5 50 20 1 6 16
"211" 2.14493319732338 NA 0 61 NA NA NA NA NA 7 NA NA 1 3 18
"212" 0.313957621750344 0.253456442935368 0 49 9999 NA 1 0 0 6 41 20 2 6 16
"213" 0.188259802398328 0.109828391886481 0 52 51 NA 1 1 0 7 43 20 1 8 18
"214" NA NA NA NA 61 2 NA NA NA 6 20 11 1 8 16
"215" NA NA NA NA NA NA NA NA NA 7 121 60 2 5 1
"216" 0.35577413566288 0.518600975189279 0 54 54 NA 0 NA NA 6 134 70 2 11 1
"217" NA NA NA NA NA NA NA NA NA 7 50 20 2 9 1
"218" 0.201347253944122 NA NA 3 NA NA NA NA NA 4 NA NA 1 7 16
"219" 0.547784393651556 NA 0 NA NA NA NA NA NA 6 60 20 1 7 1
"220" NA NA NA NA NA NA NA NA NA 5 42 20 1 5 15
"221" 0.610335586114125 0.565075777861228 0 75 55 NA 1 1 0 4 111 50 2 5 9
"222" 0.358661651361966 1.26396835037524 0 34 41 NA 1 0 0 3 71 30 1 7 17
"223" NA NA NA NA NA NA NA NA NA 4 50 20 1 11 12
"224" NA NA NA NA NA NA NA NA NA 3 41 20 2 2 17
"225" 0.155271570445366 NA 0 NA 48 4 NA NA NA 5 34 12 1 8 18
"226" 0.810835258132061 0.540287568613909 0 46 44 2 1 1 0 7 71 30 2 1 1
"227" 1.27843730924119 NA 0 NA NA NA NA NA NA 4 91 40 1 9 18
"228" 0.965890127809975 0.212298624261256 0 28 9999 NA 1 0 0 6 100 50 1 11 11
"229" 0.771286282268004 NA 0 NA NA NA NA NA NA 6 73 30 2 2 14
"230" NA NA NA NA NA NA NA NA NA 4 32 12 1 11 17
"231" NA NA NA NA NA NA NA NA NA 5 20 11 2 4 8
"232" 1.54234111290779 1.84163866509118 0 45 48 3 1 1 0 5 NA NA 2 11 10
"233" 0.239393820901465 NA 0 28 13 NA NA NA NA 6 71 30 2 8 9
"234" 0.155597558915046 0.0915652020679681 0 60 65 NA 1 1 0 7 NA NA 1 6 18
"235" 0.06810654548062 0.249557208595579 0 9999 9999 2 1 0 0 5 10 11 2 10 16
"236" 0.734327776422523 NA 0 75 NA NA NA NA NA 4 60 20 2 9 11
"237" NA NA NA NA NA NA NA NA NA 4 41 20 1 8 16
"238" 0.739977321458093 0.625202350686827 0 22 27 NA 1 0 0 6 91 40 1 5 18
"239" 0.974068512322289 NA 0 NA NA NA NA NA NA 4 71 30 2 3 11
"240" 0.234828404313461 0.573841071236558 0 57 59 NA 1 0 0 4 100 50 1 3 16
"241" 0.174253646850423 NA 0 55 58 NA NA NA NA 7 123 60 1 5 6
"242" 0.970938635831622 NA 0 NA NA NA NA NA NA 4 32 12 2 6 16
"243" 0.98092154995663 0.639926794580418 NA 48 52 NA 0 NA NA 5 100 50 2 4 5
"244" NA NA NA NA 9999 3 NA NA NA 6 126 60 2 4 4
